origin_lat,origin_lon,dest_lat,dest_lon,city_name
19.23526,-70.52948,19.22521,-70.52183,La Vega_La Vega_DOM
18.45944,-69.20259,18.46579,-69.29916,San Pedro de Macorís_San Pedro de Macorís_DOM
18.44423,-68.94037,18.42556,-68.96918,La Romana_La Romana_DOM
18.51296,-70.04131,18.52482,-70.02684,Los Alcarrizos_Santo Domingo_DOM
19.30087,-70.28104,19.29783,-70.25314,San Francisco de Macorís_Duarte_DOM
19.7906,-70.70069,19.78781,-70.69455,Puerto Plata_Puerto Plata_DOM
18.53121,-68.67906,18.61664,-68.71406,Higüey_La Altagracia_DOM
19.37954,-70.50013,19.3993,-70.52795,Moca_Espaillat_DOM
18.80739,-71.22108,18.80641,-71.23086,San Juan de la Maguana_San Juan_DOM
18.91721,-70.39739,18.93313,-70.40818,Bonao_Monseñor Nouel_DOM
18.21963,-70.49378,18.28055,-70.33373,Baní_Peravia_DOM
14.64899,-90.46318,14.63175,-90.4675,Guatemala_Guatemala_GTM
14.65373,-90.56667,14.64882,-90.58072,Mixco_Guatemala_GTM
14.52629,-90.60256,14.535,-90.60756,Villa Nueva_Guatemala_GTM
15.48097,-90.30791,15.488,-90.30322,San Pedro Carchá_Alta Verapaz_GTM
15.47139,-90.37817,15.4802,-90.37688,Cobán_Alta Verapaz_GTM
14.83454,-91.53019,14.82081,-91.51665,Quetzaltenango_Quetzaltenango_GTM
14.31072,-90.78536,14.32797,-90.78978,Escuintla_Escuintla_GTM
14.10363,-87.16309,14.08192,-87.20551,Tegucigalpa_Francisco Morazán_HND
15.48179,-87.95769,15.50393,-88.01588,San Pedro Sula_Cortés_HND
15.60022,-87.95225,15.60524,-87.95587,Choloma_Cortés_HND
15.75468,-86.81618,15.77012,-86.73836,La Ceiba_Atlántida_HND
15.4031,-87.81417,15.45074,-87.78862,El Progreso_Yoro_HND
17.96961,-76.7838,17.97093,-76.78827,Kingston_Kingston_JAM
17.98411,-76.96467,17.99505,-76.95337,Spanish Town_St Catherine_JAM
19.43302,-99.14385,19.43194,-99.13315,Ciudad de México_Distrito Federal_MEX
19.35829,-99.08703,19.35919,-99.09133,Iztapalapa_Distrito Federal_MEX
19.59793,-99.04876,19.59938,-99.04776,Ecatepec de Morelos_México_MEX
20.67987,-103.3479,20.6876,-103.35111,Guadalajara_Jalisco_MEX
19.04219,-98.20197,19.04386,-98.19756,Puebla_Puebla_MEX
19.48419,-99.11895,19.48302,-99.11419,Gustavo A Madero_Distrito Federal_MEX
31.73964,-106.47809,31.73836,-106.48776,Juárez_Chihuahua_MEX
32.53277,-117.04576,32.53505,-117.04097,Tijuana_Baja California_MEX
21.12383,-101.67787,21.12377,-101.68213,León_Guanajuato_MEX
19.4062,-99.01558,19.40785,-99.01895,Nezahualcóyotl_México_MEX
25.67254,-100.31456,25.67093,-100.30999,Monterrey_Nuevo León_MEX
20.7216,-103.39095,20.72162,-103.39334,Zapopan_Jalisco_MEX
19.47312,-99.23212,19.47824,-99.23263,Naucalpan de Juárez_México_MEX
24.80785,-107.39658,24.80773,-107.39446,Culiacán_Sinaloa_MEX
19.39102,-99.19408,19.38944,-99.19454,Álvaro Obregón_Distrito Federal_MEX
19.53575,-99.19388,19.53931,-99.19337,Tlalnepantla de Baz_México_MEX
25.67984,-100.26274,25.67757,-100.2591,Guadalupe_Nuevo León_MEX
20.97092,-89.62234,20.9667,-89.62317,Mérida_Yucatán_MEX
28.64528,-106.07372,28.63568,-106.07592,Chihuahua_Chihuahua_MEX
19.34956,-99.16178,19.34987,-99.16173,Coyoacán_Distrito Federal_MEX
25.42504,-100.99616,25.42227,-101.00094,Saltillo_Coahuila_MEX
22.15128,-100.97671,22.1527,-100.97663,San Luis Potosí_San Luis Potosí_MEX
16.84794,-99.91559,16.84948,-99.90943,Acapulco de Juárez_Guerrero_MEX
19.70136,-101.18965,19.70295,-101.19365,Morelia_Michoacán_MEX
20.59176,-100.39189,20.5921,-100.396,Querétaro_Querétaro_MEX
21.88758,-102.29656,21.8812,-102.29609,Aguascalientes_Aguascalientes_MEX
21.16901,-86.82632,21.16872,-86.82644,Benito Juárez_Quintana Roo_MEX
32.63917,-115.47251,32.6411,-115.4745,Mexicali_Baja California_MEX
29.07502,-110.95936,29.07455,-110.95912,Hermosillo_Sonora_MEX
